origin_doi,origin_sub-area,target_doi,target_sub-area
10.1109/access.2022.3155632,,10.1145/3272036.3272046,
10.1080/21681163.2015.1127775,,10.1007/978-3-540-69812-8_63,
10.1080/21681163.2015.1127775,,10.1007/s10278-014-9719-7,
10.1080/21681163.2015.1127775,,10.1016/b978-012373960-5.00335-x,
10.1080/21681163.2015.1127775,,10.1016/s1470-2045(12)70042-6,
10.1080/21681163.2015.1127775,,10.1016/s1470-2045(08)70179-7,
10.1080/21681163.2015.1127775,,10.1016/s1076-6332(03)00671-8,
10.1080/21681163.2015.1127775,,10.1109/79.543975,
10.1080/21681163.2015.1127775,,10.1007/3-540-63167-4_37,
10.1080/21681163.2015.1127775,,10.1109/tevc.2011.2108970,
10.1080/21681163.2015.1127775,,10.1007/978-3-642-15711-0_2,
10.1080/21681163.2015.1127775,,10.2307/1932409,
10.1080/21681163.2015.1127775,,10.1109/83.902291,
10.1080/21681163.2015.1127775,,10.1109/titb.2009.2036167,
10.1080/21681163.2015.1127775,,10.1109/tpami.2006.233,
10.1080/21681163.2015.1127775,,10.1109/tpami.2004.60,
10.1080/21681163.2015.1127775,,10.1016/j.cviu.2010.02.005,
10.1080/21681163.2015.1127775,,10.1109/bmei.2009.5305011,
10.1080/21681163.2015.1127775,,10.1006/gmip.1996.0006,
10.1007/978-3-030-79753-9_15,,10.1080/21681163.2015.1127775,
10.1155/2017/3781951,,10.1080/21681163.2015.1127775,
10.1080/07391102.2021.1966509,,10.1080/21681163.2015.1127775,
10.1007/s12553-022-00705-3,,10.1080/21681163.2015.1127775,
10.1038/s41598-023-29521-z,,10.1080/21681163.2015.1127775,
10.1080/21681163.2023.2301403,,10.1080/21681163.2015.1127775,
10.1016/j.bspc.2022.103652,,10.1080/21681163.2015.1127775,
10.1016/j.aej.2024.01.043,,10.1080/21681163.2015.1127775,
10.1007/s42600-022-00238-8,,10.1080/21681163.2015.1127775,
10.1007/978-3-031-40725-3_60,,10.1080/21681163.2015.1127775,
10.1007/978-3-319-57351-9_18,,10.1016/j.procs.2014.05.449,
10.1007/978-3-319-57351-9_18,,10.1109/tsg.2014.2349352,
10.1007/978-3-319-57351-9_18,,10.1109/4235.996017,
10.1007/978-3-319-57351-9_18,,10.1109/cec.2002.1004388,
10.1007/978-981-99-0605-5_5,,10.1007/978-3-319-57351-9_18,
10.1109/DSD.2017.68,,10.1109/92.845896,
10.1109/DSD.2017.68,,10.1109/nca.2016.7778627,
10.1109/DSD.2017.68,,10.1145/2442087.2442095,
10.1109/DSD.2017.68,,10.1007/978-1-4614-6849-3,
10.1109/DSD.2017.68,,10.1109/rtas.2014.6926010,
10.1109/DSD.2017.68,,10.1145/2857058.2857066,
10.1109/DSD.2017.68,,10.1109/aspdac.2017.7858403,
10.1109/DSD.2017.68,,10.1145/1669112.1669172,
10.1109/DSD.2017.68,,10.1198/004017003000000023,
10.1109/DSD.2017.68,,10.1109/tcad.2015.2504875,
10.1109/DSD.2017.68,,10.1109/tcad.2015.2481867,
10.1109/DSD.2017.68,,10.1109/iced.2014.7015766,
10.1109/DSD.2017.68,,10.1109/tcad.2009.2015740,
10.1109/DSD.2017.68,,10.2307/2685209,
10.1007/s11227-020-03312-z,,10.1109/DSD.2017.68,
10.3390/electronics11162480,,10.1109/DSD.2017.68,
10.1109/concapan48024.2022.9997731,,10.1109/DSD.2017.68,
10.1016/j.asoc.2015.11.040,ai,10.7763/ijcee.2011.v3.436,
10.1016/j.asoc.2015.11.040,ai,10.1016/s1470-2045(12)70042-6,
10.1016/j.asoc.2015.11.040,ai,10.1016/j.media.2012.05.005,
10.1016/j.asoc.2015.11.040,ai,10.1016/j.media.2009.12.005,
10.1016/j.asoc.2015.11.040,ai,10.1016/s1470-2045(08)70179-7,
10.1016/j.asoc.2015.11.040,ai,10.3322/caac.21235,
10.1016/j.asoc.2015.11.040,ai,10.1016/j.asoc.2015.06.029,
10.1016/j.asoc.2015.11.040,ai,10.1016/j.asoc.2014.10.012,
10.1016/j.asoc.2015.11.040,ai,10.1145/349194.349202,
10.1016/j.asoc.2015.11.040,ai,10.1016/j.asoc.2011.05.003,
10.1016/j.asoc.2015.11.040,ai,10.1118/1.2805477,
10.1016/j.asoc.2015.11.040,ai,10.1016/j.compmedimag.2008.01.004,
10.1016/j.asoc.2015.11.040,ai,10.1109/tsmc.1973.4309314,
10.1016/j.asoc.2015.11.040,ai,10.1109/tevc.2010.2059031,
10.1016/j.asoc.2015.11.040,ai,10.1016/j.cmpb.2014.01.014,
10.1016/j.asoc.2015.11.040,ai,10.1016/j.cmpb.2012.11.003,
10.1016/j.asoc.2015.11.040,ai,10.1117/1.jmi.1.1.015503,
10.1016/j.asoc.2015.11.040,ai,10.1109/tpami.2006.233,
10.1016/j.asoc.2015.11.040,ai,10.1006/gmip.1996.0006,
10.4018/978-1-7998-3456-4.ch002,,10.1016/j.asoc.2015.11.040,ai
10.1007/s11042-019-7358-1,,10.1016/j.asoc.2015.11.040,ai
10.3390/sym9110277,,10.1016/j.asoc.2015.11.040,ai
10.3390/e22091028,,10.1016/j.asoc.2015.11.040,ai
10.1007/978-981-15-0118-0_47,,10.1016/j.asoc.2015.11.040,ai
10.1155/2022/1887613,,10.1016/j.asoc.2015.11.040,ai
10.2139/ssrn.4129898,,10.1016/j.asoc.2015.11.040,ai
10.1155/2021/7265644,,10.1016/j.asoc.2015.11.040,ai
10.1007/s13198-019-00863-0,,10.1016/j.asoc.2015.11.040,ai
10.1007/s11042-018-6005-6,,10.1016/j.asoc.2015.11.040,ai
10.4018/978-1-6684-7136-4.ch040,,10.1016/j.asoc.2015.11.040,ai
10.1007/s12553-022-00705-3,,10.1016/j.asoc.2015.11.040,ai
10.1007/s11045-020-00749-6,,10.1016/j.asoc.2015.11.040,ai
10.4018/978-1-7998-3092-4.ch004,,10.1016/j.asoc.2015.11.040,ai
10.1007/s11831-018-9257-4,,10.1016/j.asoc.2015.11.040,ai
10.1016/b978-0-12-819764-6.00007-7,,10.1016/j.asoc.2015.11.040,ai
10.18287/2412-6179-co-808,,10.1016/j.asoc.2015.11.040,ai
10.1109/iconstem56934.2023.10142662,,10.1016/j.asoc.2015.11.040,ai
10.1007/s11517-023-02773-7,,10.1016/j.asoc.2015.11.040,ai
10.1016/b978-0-12-819764-6.00005-3,,10.1016/j.asoc.2015.11.040,ai
10.1007/978-3-031-44137-0_9,,10.1016/j.asoc.2015.11.040,ai
10.1007/s42600-022-00201-7,,10.1016/j.asoc.2015.11.040,ai
10.1007/s42600-020-00072-w,,10.1016/j.asoc.2015.11.040,ai
10.1007/s42600-022-00238-8,,10.1016/j.asoc.2015.11.040,ai
10.3390/sym10070270,,10.1016/j.asoc.2015.11.040,ai
10.1016/j.procs.2022.09.269,,10.1016/j.asoc.2015.11.040,ai
10.1016/j.asoc.2016.09.006,ai,10.1109/4235.974840,
10.1016/j.asoc.2016.09.006,ai,10.1162/106365600568167,
10.1016/j.asoc.2016.09.006,ai,10.1145/268806.268810,
10.1016/j.asoc.2016.09.006,ai,10.1109/tvlsi.2008.2002459,
10.1016/j.ins.2018.03.029,,10.1016/j.asoc.2016.09.006,ai
10.1109/smartworld-uic-atc-scalcom-digitaltwin-pricomp-metaverse56740.2022.00116,,10.1016/j.asoc.2016.09.006,ai
10.26634/jcc.6.1.16160,,10.1016/j.asoc.2016.09.006,ai
10.3390/bios13010092,,10.1016/j.asoc.2016.09.006,ai
10.1016/j.jclepro.2018.10.316,,10.1016/j.asoc.2016.09.006,ai
10.1016/j.cmpb.2016.04.029,,10.1109/tsmcb.2011.2168604,
10.1016/j.cmpb.2016.04.029,,10.1016/s0893-6080(05)80056-5,
10.1016/j.cmpb.2016.04.029,,10.1016/s0730-725x(98)00195-7,
10.1016/j.cmpb.2016.04.029,,10.1016/j.eswa.2014.09.020,
10.1016/j.cmpb.2016.04.029,,10.1162/neco.1992.4.2.141,
10.1016/j.cmpb.2016.04.029,,omid:br/061503674373 pmid:15472746,
10.1016/j.cmpb.2016.04.029,,10.1016/j.eswa.2013.04.036,
10.1016/j.cmpb.2016.04.029,,10.1055/s-0038-1633877,
10.1016/j.cmpb.2016.04.029,,10.1137/s1064827599362314,
10.1016/j.cmpb.2016.04.029,,10.1016/s0301-5629(01)00491-4,
10.1016/j.cmpb.2016.04.029,,10.1016/j.neucom.2013.05.053,
10.1016/j.cmpb.2016.04.029,,10.3233/ica-2009-0306,
10.1016/j.cmpb.2016.04.029,,10.3233/ica-130426,
10.1016/j.cmpb.2016.04.029,,10.1016/j.compbiomed.2012.10.006,
10.1016/j.cmpb.2016.04.029,,10.1016/j.compbiomed.2011.06.009,
10.1016/j.cmpb.2016.04.029,,10.1007/bf01593790,
10.1016/j.cmpb.2016.04.029,,10.1023/a:1009869804967,
10.1016/j.cmpb.2016.04.029,,10.1109/tnn.2006.880583,
10.1016/j.cmpb.2016.04.029,,10.1109/tmi.2002.808361,
10.1016/j.cmpb.2016.04.029,,10.1016/j.patcog.2006.03.004,
10.4018/978-1-7998-3456-4.ch002,,10.1016/j.cmpb.2016.04.029,
10.4018/978-1-7998-3456-4.ch003,,10.1016/j.cmpb.2016.04.029,
10.1016/j.bspc.2020.102366,,10.1016/j.cmpb.2016.04.029,
10.1016/j.bspc.2020.101912,,10.1016/j.cmpb.2016.04.029,
10.1016/b978-0-323-95462-4.00005-4,,10.1016/j.cmpb.2016.04.029,
10.1007/978-3-030-79753-9_15,,10.1016/j.cmpb.2016.04.029,
10.1007/978-3-030-79753-9_17,,10.1016/j.cmpb.2016.04.029,
10.1007/s10489-018-1294-z,,10.1016/j.cmpb.2016.04.029,
10.5772/intechopen.94026,,10.1016/j.cmpb.2016.04.029,
10.1007/s00500-022-07447-4,,10.1016/j.cmpb.2016.04.029,
10.1016/j.asoc.2021.107533,,10.1016/j.cmpb.2016.04.029,
10.1016/j.eswa.2018.10.032,,10.1016/j.cmpb.2016.04.029,
10.1117/12.2293523,,10.1016/j.cmpb.2016.04.029,
10.1016/j.eswa.2016.11.031,,10.1016/j.cmpb.2016.04.029,
10.3390/jimaging6100101,,10.1016/j.cmpb.2016.04.029,
10.1038/s41598-021-90766-7,,10.1016/j.cmpb.2016.04.029,
10.3847/1538-4365/ab289b,,10.1016/j.cmpb.2016.04.029,
10.1007/s40846-018-0437-3,,10.1016/j.cmpb.2016.04.029,
10.1155/2017/3781951,,10.1016/j.cmpb.2016.04.029,
10.1080/07391102.2021.1966509,,10.1016/j.cmpb.2016.04.029,
10.1080/23311916.2018.1444320,,10.1016/j.cmpb.2016.04.029,
10.1016/j.compbiomed.2018.03.003,,10.1016/j.cmpb.2016.04.029,
10.1016/j.micpro.2020.103724,,10.1016/j.cmpb.2016.04.029,
10.4018/978-1-6684-7136-4.ch004,,10.1016/j.cmpb.2016.04.029,
10.1007/s12553-022-00705-3,,10.1016/j.cmpb.2016.04.029,
10.1002/ima.22889,,10.1016/j.cmpb.2016.04.029,
10.1007/s11760-022-02453-3,,10.1016/j.cmpb.2016.04.029,
10.3389/fonc.2022.1026552,,10.1016/j.cmpb.2016.04.029,
10.1007/s10115-023-01978-4,,10.1016/j.cmpb.2016.04.029,
10.1016/j.cmpb.2018.01.027,,10.1016/j.cmpb.2016.04.029,
10.1007/s12652-020-01680-1,,10.1016/j.cmpb.2016.04.029,
10.1109/icrami52622.2021.9585913,,10.1016/j.cmpb.2016.04.029,
10.1038/s41598-022-05921-5,,10.1016/j.cmpb.2016.04.029,
10.1007/s11831-022-09738-3,,10.1016/j.cmpb.2016.04.029,
10.1007/s00521-019-04186-w,,10.1016/j.cmpb.2016.04.029,
10.1101/2020.06.12.20129866,,10.1016/j.cmpb.2016.04.029,
10.1016/b978-0-12-819764-6.00007-7,,10.1016/j.cmpb.2016.04.029,
10.1007/s11042-018-5804-0,,10.1016/j.cmpb.2016.04.029,
10.1109/iccci56745.2023.10128205,,10.1016/j.cmpb.2016.04.029,
10.1109/access.2022.3174599,,10.1016/j.cmpb.2016.04.029,
10.1101/2020.05.05.20092346,,10.1016/j.cmpb.2016.04.029,
10.1109/ocit59427.2023.10430569,,10.1016/j.cmpb.2016.04.029,
10.1007/s11517-023-02773-7,,10.1016/j.cmpb.2016.04.029,
10.1007/s41870-023-01533-y,,10.1016/j.cmpb.2016.04.029,
10.1007/s42600-023-00286-8,,10.1016/j.cmpb.2016.04.029,
10.1007/s42979-020-00232-w,,10.1016/j.cmpb.2016.04.029,
10.1080/21681163.2017.1350207,,10.1016/j.cmpb.2016.04.029,
10.1109/hydcon48903.2020.9242888,,10.1016/j.cmpb.2016.04.029,
10.1016/j.cageo.2017.02.001,,10.1016/j.cmpb.2016.04.029,
10.1109/gcat52182.2021.9587838,,10.1016/j.cmpb.2016.04.029,
10.1109/rteict.2017.8256646,,10.1016/j.cmpb.2016.04.029,
10.1007/s42600-021-00160-5,,10.1016/j.cmpb.2016.04.029,
10.1007/s42600-021-00158-z,,10.1016/j.cmpb.2016.04.029,
10.1007/s42600-022-00201-7,,10.1016/j.cmpb.2016.04.029,
10.1007/s42600-020-00112-5,,10.1016/j.cmpb.2016.04.029,
10.1007/s42600-020-00100-9,,10.1016/j.cmpb.2016.04.029,
10.1007/s42600-020-00097-1,,10.1016/j.cmpb.2016.04.029,
10.1007/s42600-020-00091-7,,10.1016/j.cmpb.2016.04.029,
10.1007/s42600-020-00079-3,,10.1016/j.cmpb.2016.04.029,
10.1007/s42600-020-00072-w,,10.1016/j.cmpb.2016.04.029,
10.1007/s42600-019-00024-z,,10.1016/j.cmpb.2016.04.029,
10.1101/2021.06.21.21259252,,10.1016/j.cmpb.2016.04.029,
10.1007/s42600-022-00238-8,,10.1016/j.cmpb.2016.04.029,
10.1101/2020.05.14.20102533,,10.1016/j.cmpb.2016.04.029,
10.1016/j.jacr.2018.09.041,,10.1016/j.cmpb.2016.04.029,
10.1101/2020.06.23.20138651,,10.1016/j.cmpb.2016.04.029,
10.1007/978-981-10-8055-5_52,,10.1016/j.cmpb.2016.04.029,
10.1109/civemsa52099.2021.9493583,,10.1016/j.cmpb.2016.04.029,
10.1016/j.eswa.2021.115204,,10.1016/j.cmpb.2016.04.029,
10.1016/j.eswa.2016.08.016,ai,10.7763/ijcee.2011.v3.436,
10.1016/j.eswa.2016.08.016,ai,10.1016/j.cmpb.2010.01.005,
10.1016/j.eswa.2016.08.016,ai,10.1109/icsipa.2013.6708036,
10.1016/j.eswa.2016.08.016,ai,10.1007/s10278-015-9778-4,
10.1016/j.eswa.2016.08.016,ai,10.1016/s1470-2045(12)70042-6,
10.1016/j.eswa.2016.08.016,ai,10.1016/j.media.2012.05.005,
10.1016/j.eswa.2016.08.016,ai,10.1016/j.media.2009.12.005,
10.1016/j.eswa.2016.08.016,ai,10.1016/s1470-2045(08)70179-7,
10.1016/j.eswa.2016.08.016,ai,10.1016/j.asoc.2015.06.029,
10.1016/j.eswa.2016.08.016,ai,10.1016/j.ymssp.2009.03.015,
10.1016/j.eswa.2016.08.016,ai,10.1016/j.cmpb.2014.01.014,
10.1016/j.eswa.2016.08.016,ai,10.1016/j.cmpb.2012.11.003,
10.1016/j.eswa.2016.08.016,ai,10.1016/j.compbiomed.2011.06.009,
10.1016/j.eswa.2016.08.016,ai,10.1109/2.485891,
10.1016/j.eswa.2016.08.016,ai,10.1631/jzus.c1200052,
10.1016/j.eswa.2016.08.016,ai,10.1109/titb.2009.2033269,
10.1016/j.eswa.2016.08.016,ai,10.1016/j.ijleo.2015.09.250,
10.1016/j.eswa.2016.08.016,ai,10.1109/tpami.2006.233,
10.1016/j.eswa.2016.08.016,ai,10.1016/j.patcog.2006.03.004,
10.1016/j.eswa.2016.08.016,ai,10.1006/gmip.1996.0006,
10.1007/978-3-030-86960-1_14,,10.1016/j.eswa.2016.08.016,ai
10.7717/peerj-cs.698,,10.1016/j.eswa.2016.08.016,ai
10.4018/978-1-7998-3456-4.ch002,,10.1016/j.eswa.2016.08.016,ai
10.4018/978-1-7998-3456-4.ch003,,10.1016/j.eswa.2016.08.016,ai
10.1007/978-981-13-9097-5_6,,10.1016/j.eswa.2016.08.016,ai
10.1007/978-981-13-9097-5_5,,10.1016/j.eswa.2016.08.016,ai
10.1109/cbms.2017.40,,10.1016/j.eswa.2016.08.016,ai
10.1007/978-3-030-79753-9_15,,10.1016/j.eswa.2016.08.016,ai
